Basis DSP Country > Primary Region > Secondary Region > Zip/Postal Code Report -- DAILY GEO ZIP REPORT ISO
Date Range: 1/17/2020 to 1/20/2020

Date,Campaign ID,Campaign Name,Start Date,End Date,Country,Primary Region,Secondary Region,Zip/Postal Code,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
1/20/20,1111,Permian Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,88260,1116,1,0.09%,$4.06 ,$4.53 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$3.39 ,$1.15 ,$4.53 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/17/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87104,5097,3,0.06%,$4.10 ,$6.97 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$15.67 ,$5.25 ,$20.92 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/17/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87107,18337,8,0.04%,$4.04 ,$9.27 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$55.64 ,$18.50 ,$74.13 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/17/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87113,4836,7,0.14%,$4.04 ,$2.79 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$14.62 ,$4.92 ,$19.54 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/17/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87131,122,0,0.00%,$4.02 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.37 ,$0.12 ,$0.49 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/18/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87104,5923,5,0.08%,$4.11 ,$4.87 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$18.25 ,$6.10 ,$24.36 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/18/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87107,19987,14,0.07%,$4.05 ,$5.78 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$60.62 ,$20.30 ,$80.92 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/18/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87113,5779,3,0.05%,$4.09 ,$7.88 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$17.73 ,$5.91 ,$23.64 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/18/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87131,279,0,0.00%,$3.80 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.78 ,$0.28 ,$1.06 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/19/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87104,6299,5,0.08%,$4.15 ,$5.23 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$19.66 ,$6.48 ,$26.14 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/19/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87107,20706,9,0.04%,$4.04 ,$9.30 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$62.65 ,$21.04 ,$83.68 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/19/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87113,5316,2,0.04%,$4.07 ,$10.81 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$16.20 ,$5.42 ,$21.62 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/19/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87131,261,0,0.00%,$3.91 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.76 ,$0.26 ,$1.02 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
1/20/20,2222,Power Ford,1/9/20,1/31/20,United States,New Mexico,Unknown,87104,6255,1,0.02%,$4.14 ,$25.88 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$19.46 ,$6.42 ,$25.88 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
